Sample.date,Sample.time,Encounter.number,Sample.of.day,Sample.ID,Sample.coordinates,Region,Image.name,Image.date,Image.taken.sameday,Whale.ID,Sex,Birth.year,Lateral.image,Total.ESVs,Total.bacteria.genera,S1.score,S1.skinlesions.OB1,S1.skinlesions.OB2,S1.skinlesions.avg,S1.scarmarks.OB1,S1.scarmarks.OB2,S1.scarmarks.avg,S1.allpixels.OB1,S1.allpixels.OB2,S1.allpixels.avg,S1.lesions.pixels.OB1,S1.lesions.pixels.OB2,S1.lesions.pixels.avg,S1.scar.score.OB1,S1.scar.score.OB2,S1.scar.score.avg,S2.score,S2.skinlesions.OB1,S2.skinlesions.OB2,S2.skinlesions.avg,S2.scarmarks.OB1,S2.scarmarks.OB2,S2.scarmarks.avg,S2.allpixels.OB1,S2.allpixels.OB2,S2.allpixels.avg,S2.lesions.pixels.OB1,S2.lesions.pixels.OB2,S2.lesions.pixels.avg,S2.scar.score.OB1,S2.scar.score.OB2,S2.scar.score.avg,S3.score,S3.skinlesions.OB1,S3.skinlesions.OB2,S3.skinlesions.avg,S3.scarmarks.OB1,S3.scarmarks.OB2,S3.scarmarks.avg,S3.allpixels.OB1,S3.allpixels.OB2,S3.allpixels.avg,S3.lesions.pixels.OB1,S3.lesions.pixels.OB2,S3.lesions.pixels.avg,S3.scar.score.OB1,S3.scar.score.OB2,S3.scar.score.avg,S4.score,S4.skinlesions.OB1,S4.skinlesions.OB2,S4.skinlesions.avg,S4.scarmarks.OB1,S4.scarmarks.OB2,S4.scarmarks.avg,S4.allpixels.OB1,S4.allpixels.OB2,S4.allpixels.avg,S4.lesions.pixels.OB1,S4.lesions.pixels.OB2,S4.lesions.pixels.avg,S4.scar.score.OB1,S4.scar.score.OB2,S4.scar.score.avg,Gray.patches.avg,Gray.targets.avg,Black.pinpoints.avg,Erosions.avg,Cephalopod.avg,Sloughing.avg,Wounds.avg,Likely.lesion.types,Number.likely.lesion.types,Confirmed.lesion.types,Number.confirmed.lesion.types,OB1.comments,OB2.comments
1/16/2024,12:39:00 PM,1,3,FP87,"49.312239, -124.132334",BC,T073A1_R_2024-01-01_MMalleson_FinWave,01-Jan-24,No,T073A1,Male,2005,RL,40,27,2,1,1,1,1,1,1,474545,474641,474593,0,0,0,1,1,1,2,1,1,1,1,1,1,204708,223594,214151,0,0,0,1,1,1,2,1,1,1,3,3,3,269687,273067,271377,0,0,0,3,3,3,2,1,1,1,3,3,3,121683,114095,117889,0,0,0,3,3,3,Possibly,Possibly,No,No,No,No,No,GP-GT,2,None,0,Very small spotted lesions,Left side (section 2) has a lot fo spots that may be lesions.
1/16/2024,12:25:00 PM,1,2,FP85,"49.304355, -124.110432",BC,T073A2_R_2024-01-03_MMalleson_FinWave,03-Jan-24,No,T073A2,Unknown,2010,RL,45,35,3,1,1,1,1,1,1,898525,905232,901878.5,0,0,0,1,1,1,3,1,1,1,1,1,1,809929,822032,815980.5,0,0,0,1,1,1,3,3,3,3,3,3,3,850983,841970,846476.5,18304,12418,15361,3,3,3,3,3,3,3,3,3,3,544716,554211,549463.5,4098,4315,4206.5,3,3,3,Yes,No,Possibly,No,No,No,No,GP-BT,2,GP,1,Gray patches mainly around rake marks,Grey patches surrounding rake marks. Possible pinpoint black discoloration based on description. 
2/2/2024,12:59:00 PM,1,3,FP90,"48.881439, -123.429731",BC,T100F_R_2024-04-06_AColbert_FinWave,06-Apr-24,No,T100F,Unknown,2014,RL,116,84,1,1,1,1,1,1,1,35907,36377,36142,0,0,0,1,1,1,1,1,1,1,1,1,1,38369,39163,38766,0,0,0,1,1,1,1,1,1,1,3,3,3,31756,30884,31320,0,0,0,2,2,2,1,1,1,1,3,3,3,10732,11160,10946,0,0,0,2,2,2,Possibly,No,No,No,No,No,No,GP,1,None,0,One small skin lesion,Right side photo too poor to see lesions. Same with left. Possible grey patches on left saddle.
2/2/2024,1:33:00 PM,1,4,FP91,"48.905856, -123.478179",BC,T101A_R_2024-02-06_JPilkington_FinWave,06-Feb-24,No,T101A,Male,1993,RL,107,71,3,1,1,1,1,1,1,250661,254481,252571,0,0,0,1,1,1,3,1,1,1,1,1,1,341501,342553,342027,0,0,0,1,1,1,3,3,1,2,3,3,3,215332,213288,214310,78,0,39,3,3,3,3,1,1,1,3,3,3,65689,64943,65316,0,0,0,2,2,2,No,No,No,No,No,No,No,None,0,None,0,No obvious skin lesions,
2/2/2024,12:08:00 PM,1,1,FP88,"48.851667, -123.373333",BC,T101B_R_2024-02-06_JPilkington_FinWave,06-Feb-24,No,T101B,Male,1997,RL,146,91,3,1,1,1,1,1,1,256323,255875,256099,0,0,0,1,1,1,3,1,1,1,1,1,1,282972,289603,286287.5,0,0,0,1,1,1,3,1,1,1,3,3,3,196274,185590,190932,0,0,0,3,3,3,3,1,1,1,3,3,3,821183,86150,453666.5,0,0,0,3,3,3,Yes,Possibly,No,No,No,No,No,GP-GT,2,GP,1,No obvious skin lesions,
4/24/2024,12:35:00 PM,1,1,CKWP_2024-04-24-E1-S1,"36.465000, -122.018333",CA,CA10_L_2024-0424_Patti,24-Apr-24,Yes,CA10,Male,1964,LL,80,31,3,3,3,3,3,3,3,71950,73847,72898.5,58,104,81,2,2,2,3,1,1,1,1,1,1,44241,46247,45244,0,0,0,1,1,1,3,3,3,3,3,3,3,62013,60200,61106.5,774,860,817,3,3,3,3,3,3,3,3,3,3,52603,54470,53536.5,695,4856,2775.5,4,3,3.5,Yes,No,No,Possibly,No,No,No,GP-E,2,GP,1,Very scarred up,Lots of water running off the whale so hard to tell if there is sloughing skin or just water running off the body
4/19/2024,1:57:00 PM,2,2,CKWP_2024-04-19-E2-S1,"36.669033, -122.166633",CA,CA122A2_L-2024-0419_DSC_2125 Gary Sutton,19-Apr-24,Yes,CA122A2,Male,2013,LL,196,55,3,3,3,3,3,1,2,64461,65309,64885,134,87,110.5,2,1,1.5,2,3,3,3,3,3,3,43154,44500,43827,184,575,379.5,2,2,2,2,3,1,2,3,3,3,99809,95878,97843.5,475,0,237.5,3,3,3,2,1,1,1,3,3,3,36011,38464,37237.5,0,0,0,4,4,4,Possibly,No,No,Yes,No,No,Possibly,GP-E-W,3,E,1,Little to no skin lesions,
10/18/2024,1:02:00 PM,1,1,CKWP_2024-10-18-E1-S1,"36.712167, -121.874833",CA,CA51A3_L_2024-1117_Dane_0D2A2078,17-Nov-24,No,CA51A3,Female,2013,LL,68,32,2,1,1,1,1,1,1,99581,93986,96783.5,0,0,0,1,1,1,1,1,1,1,1,1,1,60001,69981,64991,0,0,0,1,1,1,2,1,1,1,3,3,3,162005,151515,156760,0,0,0,3,3,3,2,1,3,2,3,3,3,101242,111147,106194.5,0,44,22,2,2,2,Yes,No,No,Possibly,Possibly,No,No,GP-E-CL,3,GP,1,Looks to be one small erosion on the left side (unconfirmed). Cephlapod scars on left side.,
10/5/2024,12:07:00 PM,1,1,CKWP_2024-10-05-E1-S1,"36.833500, -121.943333",CA,CA51A3A_L_2024-1012_DaneMcDermott_0D2A1378_edited,12-Oct-24,No,CA51A3A,Female,2023,LL,31,24,2,3,3,3,1,1,1,207547,203466,205506.5,3527,3997,3762,1,1,1,2,3,3,3,1,1,1,94720,106368,100544,936,970,953,1,1,1,2,3,3,3,1,1,1,378856,364852,371854,4912,6563,5737.5,1,1,1,2,3,3,3,3,3,3,422747,434011,428379,2351,3775,3063,2,2,2,Yes,Yes,Yes,Possibly,Possibly,No,Yes,GP-GT-BP-E-CL-W,6,GP-GT-BP-W,4,Gash on dorsal fin,
1/16/2024,12:19:00 PM,1,1,FP84,"49.302539, -124.094853",BC,T023D3_L_2024-01-16_DSC_9867,16-Jan-24,No ,T023D3,Male,2012,LL,92,66,3,1,1,1,1,1,1,736107,776590,756348.5,0,0,0,1,1,1,2,3,1,2,1,1,1,1336835,1288213,1312524,0,0,0,2,1,1.5,3,1,1,1,3,3,3,641849,669969,655909,0,0,0,3,3,3,2,1,1,1,3,3,3,122254,113481,117867.5,0,0,0,4,4,4,Possibly,No,No,No,No,No,No,GP,1,None,0,No obvious skin lesions,Left side (section 2) has some white spots but they don't fit into any of the described lesions and they could just be water refelctions.
11/18/2024,10:46:00 AM,2,1,FP105,"48.963494, -123.466125",BC,T037_L_2024-11-17_GJS_6290,17-Nov-24,No,T037,Female,1979,LL,87,55,2,1,3,2,1,1,1,132739,135977,134358,0,31,15.5,1,1,1,2,1,1,1,1,1,1,157888,158268,158078,0,0,0,1,1,1,2,3,3,3,3,3,3,110887,112426,111656.5,70,340,205,2,2,2,2,1,1,1,3,3,3,43573,46357,44965,0,0,0,2,2,2,Possibly,Yes,No,No,No,No,No,GP-GT,2,GT,1,1-3 targets,
11/17/2024,2:55:00 PM,1,2,FP104,"48.999073, -123.479324",BC,T037A2_L_2024-11-17_GJS_6452,17-Nov-24,Yes,T037A2,Male,2009,LL,167,89,2,1,1,1,1,1,1,1191752,1218408,1205080,0,0,0,1,1,1,3,1,1,1,3,3,3,692572,699692,696132,0,0,0,2,2,2,3,1,3,2,3,3,3,612686,612847,612766.5,0,2618,1309,3,3,3,1,1,3,2,3,3,3,57705,54910,56307.5,0,153,76.5,3,2,2.5,Possibly,No,No,No,No,No,No,GP,1,None,0,No obvious skin lesions,
11/17/2024,2:48:00 PM,1,1,FP103,"48.996636, -123.473389",BC,T046B4_L_2024-11-17_GJS_6333,17-Nov-24,Yes,T046B4,Male,2013,LL,381,127,2,3,3,3,3,1,2,75361,77713,76537,6271,9866,8068.5,2,1,1.5,2,3,3,3,3,3,3,13081,13571,13326,64,138,101,2,2,2,2,1,3,2,3,3,3,57040,56528,56784,0,3225,1612.5,3,3,3,2,3,3,3,3,3,3,79360,79882,79621,4808,4919,4863.5,3,3,3,Yes,Possibly,No,Possibly,No,No,No,GP-GT-E,3,GP,1,"large grey patches, 1 possible grey target",Big grey patch on left side. Uncertain if it's light or lesion but measured it.
2/6/2024,11:03:00 AM,1,2,FP93,"48.546735, -123.292233",BC,T060D_L_2024_DSC_0688,16-Feb-24,No,T060D,Male,2004,LL,54,44,3,1,1,1,3,1,2,148993,153660,151326.5,0,0,0,2,1,1.5,3,1,1,1,3,1,2,173645,175604,174624.5,0,0,0,2,1,1.5,3,1,1,1,3,3,3,125327,127336,126331.5,0,0,0,3,3,3,2,1,1,1,3,3,3,53937,56142,55039.5,0,0,0,2,2,2,No,No,No,No,No,No,No,None,0,None,0,No obvious skin lesions,Photo not great for showing detail
2/6/2024,11:13:00 AM,1,3,FP94,"48.554523, -123.301662",BC,T060E_L_2024-02-19_JZelwietro_FinWave,19-Feb-24,No,T060E,Male,2008,LL,61,45,2,1,1,1,1,1,1,199852,207198,203525,0,0,0,1,1,1,1,1,1,1,1,1,1,37271,36413,36842,0,0,0,1,1,1,2,1,3,2,3,3,3,160389,164294,162341.5,0,1527,763.5,4,4,4,2,1,3,2,3,3,3,150238,143535,146886.5,0,1022,511,3,3,3,Possibly,No,No,No,No,No,No,GP,1,None,0,No obvious skin lesions,Uncertain if it is a lesion on the left side but possible grey pacth so measured it.
1/16/2024,12:39:00 PM,1,3,FP87,"49.312239, -124.132334",BC,T073A1_L_2024-01-01_MMalleson_FinWave,01-Jan-24,No,T073A1,Male,2005,LL,40,27,3,3,1,2,1,1,1,712498,727976,720237,235,0,117.5,1,1,1,3,1,1,1,1,1,1,255282,244499,249890.5,0,0,0,1,1,1,3,1,3,2,3,3,3,368941,372539,370740,0,535,267.5,2,2,2,3,3,3,3,3,3,3,124124,121832,122978,1225,706,965.5,4,4,4,Possibly,Possibly,No,No,No,No,No,GP-GT,2,None,0,Very small spotted lesions,Left side (section 2) has a lot fo spots that may be lesions.
1/16/2024,12:25:00 PM,1,2,FP85,"49.304355, -124.110432",BC,T073A2_L_2024-01-03_MMalleson_FinWave,03-Jan-24,No,T073A2,Unknown,2010,LL,45,35,3,1,1,1,1,1,1,815582,829114,822348,0,0,0,1,1,1,3,1,1,1,3,3,3,943635,926834,935234.5,0,0,0,2,2,2,3,3,3,3,3,3,3,946380,949363,947871.5,23697,4471,14084,3,3,3,3,3,3,3,3,3,3,491009,503606,497307.5,4671,10127,7399,3,2,2.5,Yes,No,Possibly,No,No,No,No,GP-BT,2,GP,1,Gray patches mainly around rake marks,Grey patches surrounding rake marks. Possible pinpoint black discoloration based on description. 
2/2/2024,12:59:00 PM,1,3,FP90,"48.881439, -123.429731",BC,T100F_L_2024-04-11_VShore_FinWave,11-Apr-24,No,T100F,Unknown,2014,LL,116,84,1,1,1,1,1,1,1,64757,65326,65041.5,0,0,0,1,1,1,2,1,1,1,1,1,1,78987,80969,79978,0,0,0,1,1,1,2,1,1,1,3,3,3,109435,107119,108277,0,0,0,2,2,2,2,1,1,1,3,3,3,97570,99307,98438.5,0,0,0,2,2,2,Possibly,No,No,No,No,No,No,GP,1,None,0,One small skin lesion,Right side photo too poor to see lesions. Same with left. Possible grey patches on left saddle.
2/2/2024,1:33:00 PM,1,4,FP91,"48.905856, -123.478179",BC,T101A_L_2024-02-02_DSC_0009,02-Feb-24,Yes,T101A,Male,1993,LL,107,71,2,1,1,1,1,1,1,58835,61587,60211,0,0,0,1,1,1,3,1,1,1,1,1,1,70471,68772,69621.5,0,0,0,1,1,1,2,1,1,1,3,1,2,24658,24562,24610,0,0,0,2,1,1.5,1,1,1,1,3,3,3,2830,2673,2751.5,0,0,0,4,4,4,No,No,No,No,No,No,No,None,0,None,0,No obvious skin lesions,
2/2/2024,12:08:00 PM,1,1,FP88,"48.851667, -123.373333",BC,T101B_L_2024-02-02_DSC_0018,02-Feb-24,Yes,T101B,Male,1997,LL,146,91,3,1,1,1,1,1,1,336432,339626,338029,0,0,0,1,1,1,3,1,1,1,1,1,1,62948,63208,63078,0,0,0,1,1,1,3,3,3,3,3,3,3,184543,186388,185465.5,12103,8503,10303,4,4,4,3,3,3,3,3,3,3,107651,106801,107226,6407,9685,8046,4,4,4,Yes,Possibly,No,No,No,No,No,GP-GT,2,GP,1,No obvious skin lesions,
